anime_id,name,genre,type,rating,image_url
71,Full Metal Panic!,"Comedy, Sci-Fi",TV,7.59,https://cdn.myanimelist.net/images/anime/2/75259.jpg
72,Full Metal Panic? Fumoffu,"Action, Comedy",TV,8.02,https://cdn.myanimelist.net/images/anime/4/75260.jpg
73,Full Metal Panic! The Second Raid,Sci-Fi,TV,7.91,https://cdn.myanimelist.net/images/anime/11/75261.jpg
74,Gakuen Alice,Comedy,TV,7.64,https://cdn.myanimelist.net/images/anime/4/18118.jpg
75,Soukyuu no Fafner: Dead Aggressor,"Drama, Sci-Fi",TV,7.25,https://cdn.myanimelist.net/images/anime/3/50365.jpg
76,Mahou Shoujo Lyrical Nanoha,"Action, Comedy, Drama",TV,7.41,https://cdn.myanimelist.net/images/anime/1052/136283.jpg
77,Mahou Shoujo Lyrical Nanoha A's,"Action, Comedy, Drama",TV,7.95,https://cdn.myanimelist.net/images/anime/4/6767.jpg
79,Shuffle!,"Comedy, Fantasy, Romance, Ecchi",TV,7.0,https://cdn.myanimelist.net/images/anime/1290/133860.jpg
80,Kidou Senshi Gundam,"Drama, Sci-Fi",TV,7.77,https://cdn.myanimelist.net/images/anime/5/88524.jpg
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,"Adventure, Drama, Romance, Sci-Fi",OVA,7.99,https://cdn.myanimelist.net/images/anime/9/75618.jpg
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,"Drama, Sci-Fi",OVA,8.0,https://cdn.myanimelist.net/images/anime/1839/92857.jpg
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,"Drama, Romance, Sci-Fi",Movie,6.74,https://cdn.myanimelist.net/images/anime/1132/100198.jpg
84,Kidou Senshi Gundam 0083: Stardust Memory,"Adventure, Drama, Romance, Sci-Fi",OVA,7.21,https://cdn.myanimelist.net/images/anime/13/26654.jpg
85,Kidou Senshi Zeta Gundam,"Drama, Romance, Sci-Fi",TV,7.89,https://cdn.myanimelist.net/images/anime/6/11153.jpg
86,Kidou Senshi Gundam ZZ,"Comedy, Drama, Sci-Fi",TV,6.68,https://cdn.myanimelist.net/images/anime/1964/149469.jpg
87,Kidou Senshi Gundam: Gyakushuu no Char,"Drama, Sci-Fi",Movie,7.69,https://cdn.myanimelist.net/images/anime/1523/92371.jpg
88,Kidou Senshi Gundam F91,"Drama, Sci-Fi",Movie,6.59,https://cdn.myanimelist.net/images/anime/1637/95288.jpg
89,Kidou Senshi Victory Gundam,"Drama, Sci-Fi",TV,6.71,https://cdn.myanimelist.net/images/anime/1913/102693.jpg
91,Shin Kidou Senki Gundam Wing: Endless Waltz,"Award Winning, Drama, Sci-Fi",OVA,7.73,https://cdn.myanimelist.net/images/anime/1724/149786.jpg
92,Kidou Shinseiki Gundam X,"Adventure, Drama, Sci-Fi",TV,7.34,https://cdn.myanimelist.net/images/anime/10/16054.jpg
93,Kidou Senshi Gundam SEED,"Award Winning, Drama, Romance, Sci-Fi",TV,7.73,https://cdn.myanimelist.net/images/anime/1792/91081.jpg
94,Kidou Senshi Gundam SEED Destiny,"Drama, Romance, Sci-Fi",TV,7.17,https://cdn.myanimelist.net/images/anime/1700/91080.jpg
95,Turn A Gundam,"Adventure, Award Winning, Drama, Romance, Sci-Fi",TV,7.8,https://cdn.myanimelist.net/images/anime/4/78330.jpg
96,Kidou Butouden G Gundam,"Drama, Romance, Sci-Fi",TV,7.58,https://cdn.myanimelist.net/images/anime/1187/133654.jpg
97,Last Exile,"Action, Adventure, Sci-Fi",TV,7.78,https://cdn.myanimelist.net/images/anime/7/10888.jpg
98,Mai-HiME,"Action, Fantasy, Girls Love",TV,7.39,https://cdn.myanimelist.net/images/anime/13/7226.jpg
99,Mai-Otome,"Comedy, Drama, Fantasy",TV,7.27,https://cdn.myanimelist.net/images/anime/2/46897.jpg
100,Shin Shirayuki-hime Densetsu Prétear,"Drama, Romance",TV,7.15,https://cdn.myanimelist.net/images/anime/9/11709.jpg
101,Air,"Drama, Romance, Supernatural",TV,7.27,https://cdn.myanimelist.net/images/anime/1825/146531.jpg
